,0. Agartala (IXA)  ,1. Agatti (AGX)  ,2. Agra (AGR)  ,3. Ahmedabad (AMD)  ,4. Aizawl (AJL)  ,5. Amritsar (ATQ)  ,6. Aurangabad (IXU)  ,7. Ayodhya (AYJ)  ,8. Bagdogra (IXB)  ,9. Bareilly (BEK)  ,10. Belagavi (IXG)  ,11. Bengaluru (BLR)  ,12. Bhopal (BHO)  ,13. Bhubaneswar (BBI)  ,14. Chandigarh (IXC)  ,15. Chennai (MAA)  ,16. Coimbatore (CJB)  ,17. Darbhanga (DBR)  ,18. Dehradun (DED)  ,19. Delhi (DEL)  ,20. Deoghar (DGH)  ,21. Dharamshala (DHM)  ,22. Dibrugarh (DIB)  ,23. Dimapur (DMU)  ,24. Diu (DIU)  ,25. Durgapur (RDP) NEW  ,26. Gaya (GAY)  ,Goa (GOI)  ,28. Gondia (GDB)  ,29. Gorakhpur (GOP)  ,30. Guwahati (GAU)  ,31. Gwalior (GWL)  ,32. Hirasar (HSR)  ,33. Hubli (HBX)  ,34. Hyderabad (HYD)  ,35. Imphal (IMF)  ,36. Indore (IDR)  ,37. Itanagar (HGI)  ,38. Jabalpur (JLR)  ,39. Jagdalpur (JGB)  ,40. Jaipur (JAI)  ,41. Jaisalmer (JSA)  ,42. Jammu (IXJ)  ,43. Jharsuguda (JRG)  ,44. Jodhpur (JDH)  ,45. Jorhat (JRH)  ,46. Kadapa (CDP)  ,47. Kannur (CNN) NEW  ,48. Kanpur (KNU)  ,49. Khajuraho (HJR)  ,50. Kochi (COK)  ,51. Kolhapur (KLH)  ,52. Kolkata (CCU)  ,53. Kozhikode (CCJ)  ,54. Kurnool (KJB)  ,55. Leh (IXL)  ,56. Lucknow (LKO)  ,57. Madurai (IXM)  ,58. Mangaluru (IXE)  ,59. Mumbai (BOM)  ,60. Mysuru (MYQ)  ,61. Nagpur (NAG)  ,62. Nashik (ISK)  ,63. North Goa (GOX) NEW  ,64. Pantnagar (PGH)  ,65. Patna (PAT)  ,66. Port Blair (IXZ)  ,67. Prayagraj (IXD)  ,68. Pune (PNQ)  ,69. Raipur (RPR)  ,70. Rajahmundry (RJA)  ,71. Rajkot (RAJ)  ,72. Ranchi (IXR)  ,73. Salem (SXV)  ,74. Shillong (SHL)  ,75. Shirdi (SAG)  ,76. Shivamogga (RQY)  ,77. Silchar (IXS)  ,78. Srinagar (SXR)  ,79. Surat (STV)  ,80. Thiruvananthapuram (TRV)  ,81. Tiruchirappalli (TRZ)  ,82. Tirupati (TIR)  ,83. Tuticorin (TCR)  ,84. Udaipur (UDR)  ,85. Vadodara (BDQ)  ,86. Varanasi (VNS)  ,87. Vijayawada (VGA)  ,88. Visakhapatnam (VTZ)
35. Imphal (IMF)  ,50,,,,48,,,,,,,,,,,,,,,180,,,55,45,,,,,,,55,,,,,0,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,65,,,55,,,,,,,,,,,
36. Indore (IDR)  ,,,,70,,,,,,,,120,,,95,115,,,,90,,,,,,,,100,,,,,,,80,,0,,85,,80,,123,,85,,,,,,,,130,,,,118,,,85,,73,70,,,,,,68,75,,,,,,80,,,,83,,,,,60,,135,,
37. Itanagar (HGI)  ,,,,,,,,,,,,,,,,,,,,180,,,45,,,,,,,,70,,,,,,,0,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38. Jabalpur (JLR)  ,,,,,,,,,,,,115,,,,,,,,113,,,,,,,,,,,,,,,120,,85,,0,75,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39. Jagdalpur (JGB)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,75,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,
40. Jaipur (JAI)  ,,,,95,,,,99,,,140,145,110,,90,155,,,80,63,,,,,,,,135,,,165,,,,120,,90,,,,0,100,,,65,,,,,,,,135,,,,95,,,110,,,,130,,,,,100,,,,,,,,,,,90,,,,,65,,,,
41. Jaisalmer (JSA)  ,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,95,0,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42. Jammu (IXJ)  ,,,,115,,,,,,,,,,,75,,,,,80,,,,,,,,,,,,,,,175,,120,,,,,,0,,,,,,,,,,185,,,55,,,,175,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,
43. Jharsuguda (JRG)  ,,,,,,,,,,,,120,,63,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44. Jodhpur (JDH)  ,,,,85,,,,,,,,150,,,,,,,,85,,,,,,,,,,,,,,,115,,100,,,,65,,,,0,,,,,,,,,,,,,,,110,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,
45. Jorhat (JRH)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46. Kadapa (CDP)  ,,,,,,,,,,,,50,,,,60,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,125
47. Kannur (CNN) NEW  ,,,,,,,,,,,,70,,,,80,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,0,,,55,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,
48. Kanpur (KNU)  ,,,,,,,,,,,,153,,,,,,,,65,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,0,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49. Khajuraho (HJR)  ,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,
50. Kochi (COK)  ,,85,,148,,,,,,,,65,,,,85,,,,200,,,,,,,,80,,,,,,,,,,,,,,,,,,,,60,,,0,,190,,,,,,,130,,,,,,,,,100,,,,,68,,,,,,,50,,,,,,,,
51. Kolhapur (KLH)  ,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,0,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,
52. Kolkata (CCU)  ,60,,,165,75,175,,78,,,,140,,70,155,145,,90,145,150,55,93,,90,,,65,163,,120,80,,,,125,85,190,95,,,145,,180,90,,90,,,,,188,,0,,,,100,,,175,,110,,,,70,140,,155,88,,,70,,108,,,78,195,190,,,,,,,85,,90
53. Kozhikode (CCJ)  ,,,,,,,,,,,,65,,,,100,,,,185,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,40,,,0,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
